bits,p,a,b,px,py,qx,qy,expected,provided,success,elapsed_seconds,one_cycle_iteration_count
21,1529629,1416938,1317271,731333,437695,1390614,332375,1464594,1464594,True,0.014762,2472
21,1861757,403064,1755595,230609,1546262,952878,1057702,1028196,1028196,True,0.032921,2728
21,1059131,537722,116818,990108,717023,470180,423487,350127,350127,True,0.007014,2058
22,3414913,2116476,178869,1512163,3065643,2438187,1457578,968436,968436,True,0.035652,3694
22,3278789,1361884,3019087,1307251,1096047,1429957,1150464,101441,101441,True,0.042912,3620
22,2742521,58549,790720,2202941,2542439,1637967,7615,274019,274019,True,0.006831,3312
22,3460319,2905035,510018,3080535,595744,1834203,1945956,3402803,3402803,True,0.045845,3720
22,3104749,2204124,148163,904992,3002080,241542,859413,764585,764585,True,0.012055,3524
22,3764669,3548075,1129021,1855531,1640761,853102,1934398,228615,228615,True,0.022282,3880
22,3184697,2564326,2345234,2327863,1323230,883921,921038,262240,262240,True,0.011300,3568
22,3483581,3266274,2678650,2913941,39547,2115453,3008178,2270371,2270371,True,0.080504,3732
22,2735477,287049,1428942,444508,2646535,599259,143984,2689190,2689190,True,0.018218,3306
22,3918379,2147407,2409864,2525475,2220000,623439,2811870,76855,76855,True,0.009229,3958
23,7107211,6663442,1234992,2494809,2926117,480998,5461240,6270355,6270355,True,0.034486,5330
23,5258327,3257124,1948929,1227009,1630204,608600,139943,1835108,1835108,True,0.059795,4586
23,5971193,1027863,4285071,4907273,3159958,5251850,975146,56661,56661,True,0.045800,4886
23,6520847,590837,811641,1543721,6373057,2010453,1045038,1902536,1902536,True,0.015482,5106
23,4210813,2912027,3631481,3266092,2750481,3217932,4119915,3422874,3422874,True,0.066638,4104
23,7953107,2567248,4214211,2331527,7800252,1352901,3677897,2122627,2122627,True,0.065611,5640
23,6003967,1312147,406070,5761052,3836309,490491,53048,818725,818725,True,0.241389,4900
23,5827709,3131794,3006481,1369607,1161390,1506356,4541951,4610105,4610105,True,0.015757,4828
23,5605777,4811975,5365572,2387123,2165840,1877431,1473421,1538536,1538536,True,0.016694,4734
23,5606561,1142490,3579536,6880,1339091,3353158,206649,1250898,1250898,True,0.027201,4734
24,12071093,1213837,7255932,10632578,1424911,10026627,6904791,4994537,4994537,True,0.053986,6948
24,8583503,1843658,1409551,665082,4176657,5768183,5457205,60451,60451,True,0.009044,5858
24,11058571,7833477,5330459,5679849,2634847,2473252,4456172,879140,879140,True,0.043372,6650
24,15447403,10345710,12365411,6490486,12913240,2955123,11009080,333475,333475,True,0.010778,7860
24,13665011,12362420,11489032,13593148,4981752,4840534,2592058,5542383,5542383,True,0.076431,7392
24,11447963,3838182,10020151,10609128,2598678,6290286,2083715,5585610,5585610,True,0.022893,6766
24,13872829,8893459,6412771,1977177,7148140,3992724,9438882,10770994,10770994,True,0.032732,7448
24,15432929,13053893,5711327,4412030,5289609,13819821,10345173,8139847,8139847,True,0.239973,7856
24,10446673,3805200,2956894,9375717,7962765,4815997,3951059,1804885,1804885,True,0.121019,6464
24,14190181,7463980,2835179,6979750,1280880,212468,8219451,589694,589694,True,0.031044,7532
25,18313961,87040,9485987,14990219,1573493,12335360,12534520,6147825,6147825,True,0.079924,8558
25,19034881,11548919,9618893,13518884,15608252,2161584,7090841,608231,608231,True,0.012302,8724
25,32342003,18303774,7549716,17030540,5005603,9577701,15160314,2607517,2607517,True,0.052558,11374
25,19758547,4779468,7933934,7488413,12206901,3680323,18139314,3906694,3906694,True,0.153329,8890
25,20242273,12947946,17603554,13601570,3336802,9455293,15777152,19801687,19801687,True,0.051340,8998
25,21828497,18775058,16875149,13440536,6893733,5103558,4500102,460939,460939,True,0.012182,9344
25,23862877,10409680,16922001,19919084,4221285,3342585,2454225,10944974,10944974,True,0.158442,9768
25,24149327,10450981,1050738,3557289,1510149,20037415,5698102,6988940,6988940,True,0.097093,9828
25,28462591,2596798,6567861,9619841,18114469,27930721,26169247,12859467,12859467,True,0.047950,10670
25,29996717,2625090,25373952,17144453,2747798,8343155,23924675,1992,1992,True,0.008870,10952
26,60430033,20344362,15858403,55900099,37060133,58717636,1718923,966963,966963,True,0.038703,15546
26,66833077,14557473,1491115,32644742,30641043,3407147,9787385,26470390,26470390,True,0.138171,16350
26,59512489,25197474,37991815,3037924,31169001,27716605,14322383,5216121,5216121,True,0.028420,15428
26,42317507,13824166,28733795,24013109,19292250,26606429,20672098,13951567,13951567,True,0.043659,13010
26,40533211,2655992,15787030,18178963,27023896,4159011,25223540,25617482,25617482,True,0.275688,12732
26,37992491,12607066,35899798,32589709,8112684,16462854,12570895,27211118,27211118,True,0.024531,12326
26,64188701,45276407,4063443,40124933,6196444,46832584,33284941,57931625,57931625,True,0.792571,16022
26,50309071,24910038,48391813,50185816,36978481,18165491,12755492,1633994,1633994,True,0.026042,14184
26,41820733,19805486,13469360,18689133,34615355,36374877,31271612,4851361,4851361,True,0.094310,12932
26,38223811,18387366,25990385,29957689,29451785,8894703,23271340,18601382,18601382,True,0.054550,12364
27,130162811,105743565,61429591,111959298,40860505,8214976,81079404,45114196,45114196,True,0.079016,22816
27,111859147,25637419,50934582,733587,84080927,81683602,86488128,41400428,41400428,True,0.547602,21152
27,83382071,52396946,37035293,46351447,1725334,14586091,44123628,72583568,72583568,True,0.188237,18262
27,103846711,64280371,88039752,6297688,9878154,8029968,48327515,37874474,37874474,True,0.040718,20380
27,114868069,12606083,66042364,87193057,77717604,32372838,28057495,18536521,18536521,True,0.098695,21434
27,108417121,57637663,43437960,52664670,25531162,62971480,42512519,2431046,2431046,True,0.022855,20824
27,75523477,20626316,30724271,74263433,67149546,25079719,34407169,15555280,15555280,True,0.062675,17380
27,127765073,120974399,42190511,4549648,77903854,93827892,101420765,23674865,23674865,True,0.157342,22606
27,88296269,56910433,64071046,50149254,45838298,41809292,82821187,53102978,53102978,True,0.795164,18792
27,110591729,6000728,4551406,1757314,48934497,82796719,70726788,2683913,2683913,True,0.065065,21032
